# x = Fe y = Mg z = Al,,,,,,,,
x,y,z,line,,,,,
21.5,0,78.5,H1,,43,0,57,H1
17,4.5,78.5,H1,,34,9,57,H1
33.5,0,66.5,H2,,66,0,33,H2
0,33.5,66.5,H2,,0,67,33,H2
17.5,12.5,70,H3,,35,25,40,H3
0,30,70,H3,,0,60,40,H3
37.5,12.5,50,O1,,75,25,0,O1
12.5,12.5,75,O1,,25,25,50,O1
10,40,50,O2,,20,80,0,O2
5,40,55,O2,,10,80,10,O2
5,40,55,H4,,10,80,10,H4
0,45,55,H4,,0,90,10,H4
4,28.5,67.5,H5,,8,57,35,H5
0,32.5,67.5,H5,,0,65,35,H5
3,19.5,77.5,H6,,6,39,55,H6
0,22.5,77.5,H6,,0,45,55,H6
0,2.5,97.5,O3,,0,5,95,O3
15,2.5,82.5,O3,,30,5,65,O3
5,40,55,O4,,10,80,10,O4
3,19.5,77.5,O4,,6,39,55,O4
15,2.5,82.5,L2,,30,5,65,L2
16.3295155785529,2.71096850641306,80.9595159150341,L2,,"32,6590311571","5,4219370128","61,9190318301",L2
16.9818540221565,3.1888542912758,79.8292916865678,L2,,"33,9637080443","6,3777085826","59,6585833731",L2
17,4.5,78.5,L2,,34,9,57,L2
13.0520425305961,11.7287668732325,75.2191905961714,L3,,"26,1040850612","23,4575337465","50,4383811923",L3
12.5,12.5,75,L3,,25,25,50,L3
11.0816014122775,14.2082933022868,74.7101052854357,L3,,"22,1632028246","28,4165866046","49,4202105709",L3
8.90633143721927,16.4817244306179,74.6119441321628,L3,,"17,8126628744","32,9634488612","49,2238882643",L3
5.82711524566375,19.4519945377216,74.7208902166147,L3,,"11,6542304913","38,9039890754","49,4417804332",L3
3.25554289792644,21.5051590070939,75.2392980949796,L3,,"6,5110857959","43,0103180142","50,47859619",L3
0.0716981289857699,23.6562095190663,76.2720923519479,L3,,"0,143396258","47,3124190381","52,5441847039",L3
