############,,,,,,,
# title: dip and azimut measurements of beds and faults in the Voirons Flysch,,,,,,,
# author: Lina Maria Ospina-Ostios and Jérémy Ragusa,,,,,,,
# date: 2014/12/15,,,,,,,
############,,,,,,,
# comments: please refer to the Section folder for outcrops and beds,,,,,,,
############,,,,,,,
outcrop,formation,member,date,bed,azimut,dip,type
Dranse,Boëge Marl Fm.,,14/12/15,36,126,56,bed
Dranse,Boëge Marl Fm.,,14/12/15,34,128,52,bed
Dranse,Boëge Marl Fm.,,14/12/15,30,122,66,bed
Dranse,Boëge Marl Fm.,,14/12/15,17,132,77,bed
Dranse,Boëge Marl Fm.,,14/12/15,3,152,24,bed
Dranse,Boëge Marl Fm.,,14/12/15,1,133,36,bed
Fenalet quarry,Voirons Sandstone Fm.,,20/04/14,4c,70,10,bed
Fenalet quarry,Voirons Sandstone Fm.,,20/04/14,8,72,16,bed
Bons quarry,Voirons Sandstone Fm.,Bons Sandstone Mb.,,5,98,40,bed
Carraz stream,Bruant Sandstone Fm.,,,5,64,32,bed
Allinges caste quarry,Voirons Sandstone Fm.,Allinges Sandstone Mb.,,16,147,55,bed
Allinges caste quarry,Voirons Sandstone Fm.,Allinges Sandstone Mb.,,23a,144,35,bed
Allinges caste quarry,Voirons Sandstone Fm.,Allinges Sandstone Mb.,,2,145,40,bed
Allinges caste quarry,Voirons Sandstone Fm.,Allinges Sandstone Mb.,,6,134,33,bed
Chauffemérande stream,Boëge Marl Fm.,,,1,102,28,bed
Chauffemérande stream,Boëge Marl Fm.,,,3,92,27,bed
Chauffemérande stream,Boëge Marl Fm.,,,9,91,28,bed
Chauffemérande stream,Boëge Marl Fm.,,,11,89,32,bed
Voirons crest,Voirons Sandstone Fm.,,,31,109,36,bed
Voirons crest,Voirons Sandstone Fm.,,,25,112,38,bed
Voirons crest,Voirons Sandstone Fm.,,,105,103,42,bed
Voirons crest,Voirons Sandstone Fm.,,,67d,100,44,bed
Voirons crest,Voirons Sandstone Fm.,,,130,125,58,bed
Voirons crest,Voirons Sandstone Fm.,,,122,98,30,bed
Voirons crest,Voirons Sandstone Fm.,,,137,138,62,bed
Voirons crest,Voirons Sandstone Fm.,,,102,42,106,bed
Voirons crest,Voirons Sandstone Fm.,,,155,122,52,bed
Voirons crest,Voirons Sandstone Fm.,,,151,148,66,bed
Voirons crest,Voirons Sandstone Fm.,,,147a,150,78,bed
Voirons crest,Voirons Sandstone Fm.,,,54,107,44,bed
Voirons crest,Voirons Sandstone Fm.,,,51,99,41,bed
Voirons crest,Voirons Sandstone Fm.,,,48,107,42,bed
Voirons crest,Voirons Sandstone Fm.,,,45,100,45,bed
Voirons crest,Voirons Sandstone Fm.,,,43c,101,42,bed
Voirons crest,Voirons Sandstone Fm.,,,38a,101,38,bed
Curseille stream,Voirons Sandstone Fm.,,,1,128,68,bed
Curseille stream,Voirons Sandstone Fm.,,,3,128,60,bed
Curseille stream,Voirons Sandstone Fm.,,,6,124,62,bed
Curseille stream,Voirons Sandstone Fm.,,,7,133,64,bed
Curseille stream,Voirons Sandstone Fm.,,,22,128,60,bed
Curseille stream,Voirons Sandstone Fm.,,,34a,134,65,bed
Curseille stream,Voirons Sandstone Fm.,,,36,127,62,bed
Curseille stream,Voirons Sandstone Fm.,,,38a,128,63,bed
Curseille stream,Voirons Sandstone Fm.,,,39,127,65,bed
Curseille stream,Voirons Sandstone Fm.,,20/04/11,146,122,57,bed
Curseille stream,Voirons Sandstone Fm.,,20/04/11,148,127,58,bed
Curseille stream,Voirons Sandstone Fm.,,24/07/10,186,109,52,bed
Curseille stream,Voirons Sandstone Fm.,,24/07/10,181b,112,56,bed
Curseille stream,Voirons Sandstone Fm.,,11/07/10,175,58,62,bed
Curseille stream,Voirons Sandstone Fm.,,26/07/10,209,110,57,bed
Curseille stream,Voirons Sandstone Fm.,,26/07/10,212,106,58,bed
Curseille stream,Voirons Sandstone Fm.,,26/07/10,215,109,60,bed
Curseille stream,Voirons Sandstone Fm.,,26/07/10,217,112,60,bed
Curseille stream,Voirons Sandstone Fm.,,26/07/10,219,112,56,bed
Curseille stream,Voirons Sandstone Fm.,,05/08/10,264,115,52,bed
Curseille stream,Voirons Sandstone Fm.,,27/07/10,250,107,52,bed
Curseille stream,Voirons Sandstone Fm.,,26/07/10,228,115,56,bed
Curseille stream,Voirons Sandstone Fm.,,26/07/10,227,115,56,bed
Curseille stream,Voirons Sandstone Fm.,,05/08/10,289,121,38,bed
Curseille stream,Voirons Sandstone Fm.,,05/08/10,290,177,90,fault ?
Curseille stream,Voirons Sandstone Fm.,,05/08/10,285b,120,38,bed
Curseille stream,Voirons Sandstone Fm.,,05/08/10,280,127,38,bed
Curseille stream,Voirons Sandstone Fm.,,05/08/10,282,133,38,bed
Curseille stream,Voirons Sandstone Fm.,,18/07/10,164,146,62,bed
Curseille stream,Voirons Sandstone Fm.,,18/07/10,162,142,58,bed
Curseille stream,Voirons Sandstone Fm.,,18/07/10,160d,137,60,bed
Curseille stream,Voirons Sandstone Fm.,,18/07/10,156,134,54,bed
Curseille stream,Voirons Sandstone Fm.,,18/07/10,155,130,56,bed
Curseille stream,Voirons Sandstone Fm.,,18/07/10,151,134,58,bed
D20 – 890,Voirons Sandstone Fm.,,,14c,62,40,bed
Fillinges quarry 1,Voirons Sandstone Fm.,,22/10/12,93,110,32,bed
Fillinges quarry 1,Voirons Sandstone Fm.,,22/10/12,94,103,42,bed
Fillinges quarry 1,Voirons Sandstone Fm.,,22/10/12,76,112,42,bed
Fillinges quarry 1,Voirons Sandstone Fm.,,22/10/12,65,89,37,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,31,96,38,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,25,103,38,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,18,116,44,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,14,109,50,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,6,88,30,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,2,94,41,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,53,104,48,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,41,90,38,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,38,108,38,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,60,104,38,bed
Fillinges quarry 2,Voirons Sandstone Fm.,,,59,91,38,bed
Grande Gueule quarry,Vouan Conglomerate Fm.,,11/05/11,3,76,28,bed
Grande Gueule quarry,Vouan Conglomerate Fm.,,11/05/11,2a,70,36,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,73,105,55,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,68,97,14,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,65,111,87,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,64-66,336,51,fault
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,64-66,262,19,strie
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,63,83,54,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,52,97,51,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,39,101,76,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,36,120,62,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,28,103,60,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,21,105,57,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,16,96,60,bed
Grands Bois,Voirons Sandstone Fm.,Bons Sandstone Mb.,27/06/12,11,100,51,bed
Grotte aux Loups,Vouan Conglomerate Fm.,,,18a,132,48,bed
Grotte aux Loups,Vouan Conglomerate Fm.,,,9,130,54,bed
Nant de Manant,Voirons Sandstone Fm.,,,51,116,61,bed
Nant de Manant,Voirons Sandstone Fm.,,,46,112,62,bed
Nant de Manant,Voirons Sandstone Fm.,,,30,116,70,bed
Nant de Manant,Voirons Sandstone Fm.,,,27,112,64,bed
Nant de Manant,Voirons Sandstone Fm.,,,25,122,50,bed
Nant de Manant,Voirons Sandstone Fm.,,,13,129,64,bed
Nant de Manant,Voirons Sandstone Fm.,,,1,122,63,bed
Nant de Manant,Voirons Sandstone Fm.,,,10,117,60,bed
Nant de Manant,Voirons Sandstone Fm.,,,129,12,68,bed
Nant de Manant,Voirons Sandstone Fm.,,,119,60,114,bed
Nant de Manant,Voirons Sandstone Fm.,,,112,122,62,bed
Nant de Manant,Voirons Sandstone Fm.,,,110,120,56,bed
Nant de Manant,Voirons Sandstone Fm.,,,109,118,58,bed
Nant de Manant,Voirons Sandstone Fm.,,,108,122,51,bed
Nant de Manant,Voirons Sandstone Fm.,,,106,125,50,bed
Nant de Manant,Voirons Sandstone Fm.,,,162,117,60,bed
Nant de Manant,Voirons Sandstone Fm.,,,158,115,70,bed
Nant de Manant,Voirons Sandstone Fm.,,,157,117,65,bed
Nant de Manant,Voirons Sandstone Fm.,,,151,113,66,bed
Nant de Manant,Voirons Sandstone Fm.,,,148,117,66,bed
Nant de Manant,Voirons Sandstone Fm.,,,143,131,62,bed
Nant de Manant,Voirons Sandstone Fm.,,,138,121,58,bed
Nant de Manant,Voirons Sandstone Fm.,,,133,119,56,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,10,357,34,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,9,7,36,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,17,9,38,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,18,47,28,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,23,41,10,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,25,38,8,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,41,357,8,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,42,10,15,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,43,287,78,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,45,305,79,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,61,293,80,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,63,40,18,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,64,36,18,bed
Chez le Merizier stream,Boëge Marl Fm.,,29/04/12,69,52,18,bed
La Moutonnière,Voirons Sandstone Fm.,,25/03/11,29,155,34,bed
La Moutonnière,Voirons Sandstone Fm.,,25/03/11,20a,175,26,bed
La Moutonnière,Voirons Sandstone Fm.,,25/03/11,7,150,30,bed
La Moutonnière,Voirons Sandstone Fm.,,25/03/11,14,260,50,fault
